level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
286,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
287,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
288,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
289,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
290,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
291,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
292,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
293,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
294,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
295,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
296,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
297,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
298,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
299,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
300,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
301,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
302,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
303,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
304,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
305,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
306,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
307,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
308,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
309,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
310,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
311,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
312,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
313,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
314,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
315,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
316,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
317,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
318,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
319,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
320,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
321,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
322,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
323,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
324,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
325,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
326,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
327,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
328,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
329,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
330,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
331,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
332,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
333,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
